number;type;item;context;condition;question1;question2;session
1;target;Ich habe Tanja gefragt, welches Studienergebnis von Gina Nick verstimmt und sie beeindruckt hat.;Tanja, Gina und Nick fhren Studien zur Heilung von Herzkrankheiten durch.;subject non-initial;Kann dieser Satz so verstanden werden, dass ein Studienergebnis Tanja beeindruckt hat?;Kann dieser Satz so verstanden werden, dass ein Studienergebnis Gina beeindruckt hat?;Part 1
2;target;Ich habe Helen gefragt, welcher Witz ber Ute sie irritiert und Mats amsiert hat.;Helen, Ute und Mats haben ihren Kommilitonen in der Pause belauscht und dabei die neuesten Witze geh”rt, die momentan die Runde machen.;subject initial;Kann dieser Satz so verstanden werden, dass ein Witz Helen irritiert hat?;Kann dieser Satz so verstanden werden, dass ein Witz Ute irritiert hat?;Part 1
3;target;Ich habe Laura gefragt, welches Video von Sarah Jannik gefunden und sie gesucht hat.;Um die Zeit bis zum Beginn von Sarahs Geburtstagsparty zu berbrcken, wollten sich Laura, Sarah und Jannik ein Video ansehen.;object non-initial;Kann dieser Satz so verstanden werden, dass Laura ein Video gesucht hat?;Kann dieser Satz so verstanden werden, dass Sarah ein Video gesucht hat?;Part 1
4;target;Ich habe Marius gefragt, welches Gem„lde von Justus er ausgestellt und Suse besch„digt hat.;Marius, Justus und Suse sind Kunstschaffende, die sich ein Atelier teilen.;object initial;Kann dieser Satz so verstanden werden, dass Marius ein Gem„lde ausgestellt hat?;Kann dieser Satz so verstanden werden, dass Justus ein Gem„lde ausgestellt hat?;Part 1
5;target;Ich habe Tim gefragt, welche Platte von Oliver Karin berzeugt und ihn zufriedengestellt hat.;Tim und Karin haben sich Schallplatten von Oliver angeh”rt und danach alle gemeinsam ber sie diskutiert.;subject non-initial;Kann dieser Satz so verstanden werden, dass eine Platte Tim zufriedengestellt hat?;Kann dieser Satz so verstanden werden, dass eine Platte Oliver zufriedengestellt hat?;Part 1
6;target;Ich habe Mia gefragt, welche Geschichte ber Luna sie gelangweilt und Silas verwundert hat.;Mia und Silas waren auf einer Party von Luna, die nicht so gut gelungen ist.;subject initial;Kann dieser Satz so verstanden werden, dass eine Geschichte Mia gelangweilt hat?;Kann dieser Satz so verstanden werden, dass eine Geschichte Luna gelangweilt hat?;Part 1
7;target;Ich habe Julian gefragt, welche Idee von Arthur Iris missverstanden und er erl„utert hat.;Julian, Arthur und Iris arbeiten gemeinsam an einer Seminararbeit in Philosophie, wobei viele Unklarheiten entstehen.;object non-initial;Kann dieser Satz so verstanden werden, dass Julian eine Idee erl„utert hat?;Kann dieser Satz so verstanden werden, dass Arthur eine Idee erl„utert hat?;Part 1
8;target;Ich habe Zoe gefragt, welchen Bericht ber Lisa sie verheimlicht und Paul ver”ffentlicht hat.;Zoe und Paul haben fr die geplante Reportage nicht nur ber Lisa recherchiert, sondern auch ein Interview mit ihr gefhrt.;object initial;Kann dieser Satz so verstanden werden, dass Zoe einen Bericht verheimlicht hat?;Kann dieser Satz so verstanden werden, dass Lisa einen Bericht verheimlicht hat?;Part 1
9;target;Ich habe David gefragt, welche Zeichnung von Matthias Astrid gest”rt und ihn aufgeheitert hat.;Astrid, die sehr selbstkritisch ist, hat ihren Freunden David und Matthias die Zeichnungen gezeigt, die sie von ihnen angefertigt hat.;subject non-initial;Kann dieser Satz so verstanden werden, dass eine Zeichnung David aufgeheitert hat?;Kann dieser Satz so verstanden werden, dass eine Zeichnung Matthias aufgeheitert hat?;Part 1
10;target;Ich habe Leo gefragt, welches Lied ber Oskar ihn entzckt und Nina verdutzt hat.;Leo, Nina und Oskar haben neulich gemeinsam Musik gemacht und Lieder ber einander erfunden.;subject initial;Kann dieser Satz so verstanden werden, dass ein Lied Leo entzckt hat?;Kann dieser Satz so verstanden werden, dass ein Lied Oskar entzckt hat?;Part 1
11;target;Ich habe Susi gefragt, welche Tatsache ber Marie Hugo best„tigt und sie bestritten hat.;Susi, Marie und Hugo haben sich ber Dinge aus ihrer Vergangenheit unterhalten, wobei šberraschendes ans Licht kam.;object non-initial;Kann dieser Satz so verstanden werden, dass Susi eine Tatsache bestritten hat?;Kann dieser Satz so verstanden werden, dass Marie eine Tatsache bestritten hat?;Part 1
12;target;Ich habe Eva gefragt, welches Gedicht ber Hanna sie gelesen und Lars vorgetragen hat.;In der Schreibgruppe von Eva, Hanna und Lars wurden Gedichte ber die anwesenden Personen verfasst.;object initial;Kann dieser Satz so verstanden werden, dass Eva ein Gedicht gelesen hat?;Kann dieser Satz so verstanden werden, dass Hanna ein Gedicht gelesen hat?;Part 1
1;filler;Die Tochter der Politikerin, die einen Podcast aufgenommen hat, steht heute in der Zeitung.;Seit der Ver”ffentlichung des Podcasts sind die Politikerin und ihre Tochter oft zusammen zu sehen.;NA;Kann dieser Satz so verstanden werden, dass die Tochter einen Podcast aufgenommen hat?;Kann dieser Satz so verstanden werden, dass die Politikerin einen Podcast aufgenommen hat?;Part 1
2;filler;Die Kollegin der Unternehmerin, die eine laute Stimme hat, ist sehr klug.;Auf einer Konferenz stellte die Unternehmerin zusammen mit ihrer Kollegin ein neues Firmenkonzept vor.;NA;Kann dieser Satz so verstanden werden, dass die Kollegin eine laute Stimme hat?;Kann dieser Satz so verstanden werden, dass die Unternehmerin eine laute Stimme hat?;Part 1
3;filler;Die Beraterin der Chefin, die ihren Termin verpasst hat, ist in der ganzen Stadt bekannt.;Die Chefin des Stadtmagazins hat die Tochter des Pr„sidenten als Beraterin eingestellt.;NA;Kann dieser Satz so verstanden werden, dass die Beraterin ihren Termin verpasst hat?;Kann dieser Satz so verstanden werden, dass die Chefin ihren Termin verpasst hat?;Part 1
4;filler;Die Assistentin der Knstlerin, die einen roten Mantel tr„gt, ist immer noch am Telefon.;W„hrend die Knstlerin das Gem„lde fertiggestellt hat, bekam die Assistentin ein Angebot fr eine Ausstellung.;NA;Kann dieser Satz so verstanden werden, dass die Assistentin einen roten Mantel tr„gt?;Kann dieser Satz so verstanden werden, dass die Knstlerin einen roten Mantel tr„gt?;Part 1
5;filler;Die Gitarristin der S„ngerin, die fr Skandale berhmt ist, tr„gt eine Lederjacke.;Die S„ngerin und ihre Gitarristin machen eine Konzerttour durch Europa.;NA;Kann dieser Satz so verstanden werden, dass die Gitarristin fr ihre Skandale berhmt ist?;Kann dieser Satz so verstanden werden, dass die S„ngerin fr ihre Skandale berhmt ist?;Part 1
6;filler;Die Auszubildende der Floristin, die Rosen nicht ausstehen kann, kam heute zu sp„t.;Der Blumenladen der Floristin ist so beliebt, dass sie eine Auszubildende einstellen musste.;NA;Kann dieser Satz so verstanden werden, dass die Auszubildende Rosen nicht ausstehen kann?;Kann dieser Satz so verstanden werden, dass die Floristin Rosen nicht ausstehen kann?;Part 1
7;filler;Die Freundin der Cellistin, die ein blaues Kleid tr„gt, sitzt in der ersten Reihe.;Die Cellistin hat zu ihrem ersten Konzert im neuen Konzertsaal ihre Freundin eingeladen.;NA;Kann dieser Satz so verstanden werden, dass die Freundin ein blaues Kleid tr„gt?;Kann dieser Satz so verstanden werden, dass die Cellistin ein blaues Kleid tr„gt?;Part 1
8;filler;Die Vertreterin der Vorgesetzten, die sehr unbeliebt ist, erschien heute nicht zum Meeting.;Die Vorgesetzte bertrug ihrer Vertreterin zum ersten Mal die wichtige Aufgabe, das Meeting zu leiten.;NA;Kann dieser Satz so verstanden werden, dass die Vertreterin sehr unbeliebt ist?;Kann dieser Satz so verstanden werden, dass die Vorgesetzte sehr unbeliebt ist?;Part 1
9;filler;Ich habe Daniela gefragt, welche Band Simon groáartig und sie nervig fand.;Daniela und Simon waren auf einem Festival, auf dem nur lokale Bands spielen.;NA;Kann dieser Satz so verstanden werden, dass Daniela eine Band nervig fand?;Kann dieser Satz so verstanden werden, dass Simon eine Band nervig fand?;Part 1
10;filler;Ich habe Greta gefragt, welches Bild Timo unvorteilhaft und sie sch”n fand.;Greta und Timo waren beim Fotografen, um aktuelle Bilder von sich machen zu lassen.;NA;Kann dieser Satz so verstanden werden, dass Greta ein Bild sch”n fand?;Kann dieser Satz so verstanden werden, dass Timo ein Bild sch”n fand?;Part 1
11;filler;Ich habe Sina gefragt, welchen Vortrag sie inspirierend und Bernd unn”tig fand.;Auf der Wissenschaftstagung haben Sina und Bernd verschiedene Vortr„ge geh”rt.;NA;Kann dieser Satz so verstanden werden, dass Sina einen Vortrag inspiririerend fand?;Kann dieser Satz so verstanden werden, dass Bernd einen Vortrag inspirierend fand?;Part 1
12;filler;Ich habe Flora gefragt, welches Kleid sie gewagt und Oliver traumhaft fand.;Flora und Oliver sind auf eine Hochzeit eingeladen und brauchen dafr schicke Kleidung.;NA;Kann dieser Satz so verstanden werden, dass Flora ein Kleid gewagt fand?;Kann dieser Satz so verstanden werden, dass Oliver ein Kleid gewagt fand?;Part 1
13;filler;Ich habe die Schneiderin gefragt, welches Schnittmuster sie scheuálich und der Auftraggeber faszinierend fand.;Der neue Auftraggeber verlangt von der Schneiderin, die Kleidung exakt nach seinen Wnschen zu gestalten.;NA;Kann dieser Satz so verstanden werden, dass die Schneiderin ein Schnittmuster scheuálich fand?;Kann dieser Satz so verstanden werden, dass der Auftraggeber ein Schnittmuster scheuálich fand?;Part 1
14;filler;Ich habe die Praktikantin gefragt, welches Interview der Chef relevant und sie entbehrlich fand.;Die Praktikantin arbeitet erst seit einer Woche bei der Tageszeitung, deshalb ist der Chef noch nachsichtig mit ihr.;NA;Kann dieser Satz so verstanden werden, dass die Praktikantin ein Interview entbehrlich fand?;Kann dieser Satz so verstanden werden, dass der Chef ein Interview entbehrlich fand?;Part 1
15;filler;Ich habe die Kellnerin gefragt, welchen Wein sie ekelhaft und der Experte auáergew”hnlich fand.;Um die Weinkarte im Restaurant zu erneuern, wurden neben dem Experten weitere Angestellte zur Beratung hinzugezogen.;NA;Kann dieser Satz so verstanden werden, dass die Kellnerin einen Wein ekelhaft fand?;Kann dieser Satz so verstanden werden, dass der Experte einen Wein ekelhaft fand?;Part 1
16;filler;Ich habe die Taxifahrerin gefragt, welches Lied sie „tzend und der Kunde rhrend fand.;Die Taxifahrerin hat einen Kunden aus dem Nachtclub abgeholt und w„hrend der Fahrt seine Musikwnsche abgespielt.;NA;Kann dieser Satz so verstanden werden, dass die Taxifahrerin ein Lied „tzend fand?;Kann dieser Satz so verstanden werden, dass der Kunde ein Lied „tzend fand?;Part 1
17;filler;Ich habe Henry gefragt, welches Gercht ber sich Ella ignoriert und Bruno verabscheut hat.;Henry weiá ber alle Gerchte Bescheid, die in der Klasse von Ella und Bruno verbreitet werden.;NA;Kann dieser Satz so verstanden werden, dass Ella ein Gercht ber sich ignoriert hat?;Kann dieser Satz so verstanden werden, dass Bruno ein Gercht ber sich verabscheut hat?;Part 1
18;filler;Ich habe Ulli gefragt, welchen Ratschlag von sich Daria befolgt und Hugo missachtet hat.;In der Freundesgruppe von Ulli haben Daria und Hugo die meiste Erfahrung mit Jobbewerbungen.;NA;Kann dieser Satz so verstanden werden, dass Daria einen Ratschlag von sich befolgt hat?;Kann dieser Satz so verstanden werden, dass Hugo einen Ratschlag von sich missachtet hat?;Part 1
