number;type;item;context;condition;question1;question2;session
11;target;Ich habe Susi gefragt, welche Tatsache ber Marie Hugo ver„rgert und sie bedrckt hat.;Susi hat ihrer Freundin Marie ein Bewerbungsgespr„ch bei Hugo besorgt, der ein Caf‚ besitzt.;subject non-initial;Kann dieser Satz so verstanden werden, dass eine Tatsache Susi bedrckt hat?;Kann dieser Satz so verstanden werden, dass eine Tatsache Marie bedrckt hat?;Part 1
12;target;Ich habe Eva gefragt, welches Gedicht ber Hanna sie begeistert und Lars emp”rt hat.;In der Schreibgruppe von Eva, Hanna und Lars wurden Gedichte ber die anwesenden Personen verfasst.;subject initial;Kann dieser Satz so verstanden werden, dass ein Gedicht Eva begeistert hat?;Kann dieser Satz so verstanden werden, dass ein Gedicht Hanna begeistert hat?;Part 1
1;filler;Die Tochter der Politikerin, die einen Podcast aufgenommen hat, steht heute in der Zeitung.;Seit der Ver”ffentlichung des Podcasts sind die Politikerin und ihre Tochter oft zusammen zu sehen.;NA;Kann dieser Satz so verstanden werden, dass die Tochter einen Podcast aufgenommen hat?;Kann dieser Satz so verstanden werden, dass die Politikerin einen Podcast aufgenommen hat?;Part 1
2;filler;Die Kollegin der Unternehmerin, die eine laute Stimme hat, ist sehr klug.;Auf einer Konferenz stellte die Unternehmerin zusammen mit ihrer Kollegin ein neues Firmenkonzept vor.;NA;Kann dieser Satz so verstanden werden, dass die Kollegin eine laute Stimme hat?;Kann dieser Satz so verstanden werden, dass die Unternehmerin eine laute Stimme hat?;Part 1
3;filler;Die Beraterin der Chefin, die ihren Termin verpasst hat, ist in der ganzen Stadt bekannt.;Die Chefin des Stadtmagazins hat die Tochter des Pr„sidenten als Beraterin eingestellt.;NA;Kann dieser Satz so verstanden werden, dass die Beraterin ihren Termin verpasst hat?;Kann dieser Satz so verstanden werden, dass die Chefin ihren Termin verpasst hat?;Part 1
4;filler;Die Assistentin der Knstlerin, die einen roten Mantel tr„gt, ist immer noch am Telefon.;W„hrend die Knstlerin das Gem„lde fertiggestellt hat, bekam die Assistentin ein Angebot fr eine Ausstellung.;NA;Kann dieser Satz so verstanden werden, dass die Assistentin einen roten Mantel tr„gt?;Kann dieser Satz so verstanden werden, dass die Knstlerin einen roten Mantel tr„gt?;Part 1
5;filler;Die Gitarristin der S„ngerin, die fr Skandale berhmt ist, tr„gt eine Lederjacke.;Die S„ngerin und ihre Gitarristin machen eine Konzerttour durch Europa.;NA;Kann dieser Satz so verstanden werden, dass die Gitarristin fr ihre Skandale berhmt ist?;Kann dieser Satz so verstanden werden, dass die S„ngerin fr ihre Skandale berhmt ist?;Part 1
6;filler;Die Auszubildende der Floristin, die Rosen nicht ausstehen kann, kam heute zu sp„t.;Der Blumenladen der Floristin ist so beliebt, dass sie eine Auszubildende einstellen musste.;NA;Kann dieser Satz so verstanden werden, dass die Auszubildende Rosen nicht ausstehen kann?;Kann dieser Satz so verstanden werden, dass die Floristin Rosen nicht ausstehen kann?;Part 1
7;filler;Die Freundin der Cellistin, die ein blaues Kleid tr„gt, sitzt in der ersten Reihe.;Die Cellistin hat zu ihrem ersten Konzert im neuen Konzertsaal ihre Freundin eingeladen.;NA;Kann dieser Satz so verstanden werden, dass die Freundin ein blaues Kleid tr„gt?;Kann dieser Satz so verstanden werden, dass die Cellistin ein blaues Kleid tr„gt?;Part 1
8;filler;Die Vertreterin der Vorgesetzten, die sehr unbeliebt ist, erschien heute nicht zum Meeting.;Die Vorgesetzte bertrug ihrer Vertreterin zum ersten Mal die wichtige Aufgabe, das Meeting zu leiten.;NA;Kann dieser Satz so verstanden werden, dass die Vertreterin sehr unbeliebt ist?;Kann dieser Satz so verstanden werden, dass die Vorgesetzte sehr unbeliebt ist?;Part 1
9;filler;Ich habe Daniela gefragt, welche Band Simon groáartig und sie nervig fand.;Daniela und Simon waren auf einem Festival, auf dem nur lokale Bands spielen.;NA;Kann dieser Satz so verstanden werden, dass Daniela eine Band nervig fand?;Kann dieser Satz so verstanden werden, dass Simon eine Band nervig fand?;Part 1
10;filler;Ich habe Greta gefragt, welches Bild Timo unvorteilhaft und sie sch”n fand.;Greta und Timo waren beim Fotografen, um aktuelle Bilder von sich machen zu lassen.;NA;Kann dieser Satz so verstanden werden, dass Greta ein Bild sch”n fand?;Kann dieser Satz so verstanden werden, dass Timo ein Bild sch”n fand?;Part 1
11;filler;Ich habe Sina gefragt, welchen Vortrag sie inspirierend und Bernd unn”tig fand.;Auf der Wissenschaftstagung haben Sina und Bernd verschiedene Vortr„ge geh”rt.;NA;Kann dieser Satz so verstanden werden, dass Sina einen Vortrag inspiririerend fand?;Kann dieser Satz so verstanden werden, dass Bernd einen Vortrag inspirierend fand?;Part 1
12;filler;Ich habe Flora gefragt, welches Kleid sie gewagt und Oliver traumhaft fand.;Flora und Oliver sind auf eine Hochzeit eingeladen und brauchen dafr schicke Kleidung.;NA;Kann dieser Satz so verstanden werden, dass Flora ein Kleid gewagt fand?;Kann dieser Satz so verstanden werden, dass Oliver ein Kleid gewagt fand?;Part 1
13;filler;Ich habe die Schneiderin gefragt, welches Schnittmuster sie scheuálich und der Auftraggeber faszinierend fand.;Der neue Auftraggeber verlangt von der Schneiderin, die Kleidung exakt nach seinen Wnschen zu gestalten.;NA;Kann dieser Satz so verstanden werden, dass die Schneiderin ein Schnittmuster scheuálich fand?;Kann dieser Satz so verstanden werden, dass der Auftraggeber ein Schnittmuster scheuálich fand?;Part 1
14;filler;Ich habe die Praktikantin gefragt, welches Interview der Chef relevant und sie entbehrlich fand.;Die Praktikantin arbeitet erst seit einer Woche bei der Tageszeitung, deshalb ist der Chef noch nachsichtig mit ihr.;NA;Kann dieser Satz so verstanden werden, dass die Praktikantin ein Interview entbehrlich fand?;Kann dieser Satz so verstanden werden, dass der Chef ein Interview entbehrlich fand?;Part 1
15;filler;Ich habe die Kellnerin gefragt, welchen Wein sie ekelhaft und der Experte auáergew”hnlich fand.;Um die Weinkarte im Restaurant zu erneuern, wurden neben dem Experten weitere Angestellte zur Beratung hinzugezogen.;NA;Kann dieser Satz so verstanden werden, dass die Kellnerin einen Wein ekelhaft fand?;Kann dieser Satz so verstanden werden, dass der Experte einen Wein ekelhaft fand?;Part 1
16;filler;Ich habe die Taxifahrerin gefragt, welches Lied sie „tzend und der Kunde rhrend fand.;Die Taxifahrerin hat einen Kunden aus dem Nachtclub abgeholt und w„hrend der Fahrt seine Musikwnsche abgespielt.;NA;Kann dieser Satz so verstanden werden, dass die Taxifahrerin ein Lied „tzend fand?;Kann dieser Satz so verstanden werden, dass der Kunde ein Lied „tzend fand?;Part 1
17;filler;Ich habe Henry gefragt, welches Gercht ber sich Ella ignoriert und Bruno verabscheut hat.;Henry weiá ber alle Gerchte Bescheid, die in der Klasse von Ella und Bruno verbreitet werden.;NA;Kann dieser Satz so verstanden werden, dass Ella ein Gercht ber sich ignoriert hat?;Kann dieser Satz so verstanden werden, dass Bruno ein Gercht ber sich verabscheut hat?;Part 1
18;filler;Ich habe Ulli gefragt, welchen Ratschlag von sich Daria befolgt und Hugo missachtet hat.;In der Freundesgruppe von Ulli haben Daria und Hugo die meiste Erfahrung mit Jobbewerbungen.;NA;Kann dieser Satz so verstanden werden, dass Daria einen Ratschlag von sich befolgt hat?;Kann dieser Satz so verstanden werden, dass Hugo einen Ratschlag von sich missachtet hat?;Part 1
19;filler;Ich habe Martin gefragt, welche Figur von sich Lotte zerst”rt und Otto repariert hat.;Martin, Lotte und Otto haben in ihrem Kunstkurs Figuren voneinander angefertigt.;NA;Kann dieser Satz so verstanden werden, dass Lotte eine Figur von sich zerst”rt hat?;Kann dieser Satz so verstanden werden, dass Otto eine Figur von sich repariert hat?;Part 1
20;filler;Ich habe Jrgen gefragt, welchen Pullover von sich Wilma verkauft und Moritz behalten hat.;Jrgen hat Moritz und Wilma auf dem Flohmarkt getroffen, auf dem sie ihre Kleidung verkaufen.;NA;Kann dieser Satz so verstanden werden, dass Wilma einen Pullover von sich gekauft hat?;Kann dieser Satz so verstanden werden, dass Moritz einen Pullover von sich behalten hat?;Part 1
21;filler;Ich habe Ingo gefragt, welchen Ohrring von sich Rita poliert und Leopold verloren hat.;Rita und Leopold besitzen einen kleinen Schmuckladen, in dem Ingo Stammkunde ist.;NA;Kann dieser Satz so verstanden werden, dass Rita einen Ohrring von sich poliert hat?;Kann dieser Satz so verstanden werden, dass Leopold einen Ohrring von sich verloren hat?;Part 1
22;filler;Ich habe Frank gefragt, welchen Wunsch von sich Olga aufgegeben und Kilian durchgesetzt hat.;Olga und Kilian haben Frank um Rat gebeten, da sie sich nicht auf die Details ihrer bevorstehenden Reise einigen k”nnen.;NA;Kann dieser Satz so verstanden werden, dass Olga einen Wunsch von sich aufgegeben hat?;Kann dieser Satz so verstanden werden, dass Kilian einen Wunsch von sich durchgesetzt hat?;Part 1
23;filler;Ich habe Florian gefragt, welches Haustier von sich Erna adoptiert und Benno gekauft hat.;Erna und Benno haben viele Haustiere und erz„hlen Florian, warum sie Tiere mittlerweile nicht mehr von einem Zchter kaufen wrden.;NA;Kann dieser Satz so verstanden werden, dass Erna ein Haustier von sich adoptiert hat?;Kann dieser Satz so verstanden werden, dass Benno ein Haustier von sich gekauft hat?;Part 1
24;filler;Ich habe Daniel gefragt, welches Geheimnis ber sich Ida verschwiegen und Victor ausgeplappert hat.;Ida und Victor haben sich auf Daniels Party das erste Mal seit langer Zeit gesehen und von den alten Zeiten erz„hlt.;NA;Kann dieser Satz so verstanden werden, dass Ida ein Geheimnis ber sich verschwiegen hat?;Kann dieser Satz so verstanden werden, dass Victor ein Geheimnis ber sich ausgeplappert hat?;Part 1
