number;type;item;context;condition;question1;question2;session
1;target;Ich habe Tanja gefragt, welches Studienergebnis von Gina sie zusammengefasst und Nick analysiert hat.;Gina hat für ihre Bachelorarbeit eine Studie durchgeführt und diese zusammen mit Tanja und Nick ausgewertet.;object initial;Kann dieser Satz so verstanden werden, dass Tanja ein Studienergebnis zusammengefasst hat?;Kann dieser Satz so verstanden werden, dass Gina ein Studienergebnis zusammengefasst hat?;Part 1
2;target;Ich habe Helen gefragt, welcher Witz über Ute Mats amüsiert und sie irritiert hat.;Helen, Ute und Mats haben ihren Kommilitonen in der Pause belauscht und dabei die neuesten Witze gehört, die momentan die Runde machen.;subject non-initial;Kann dieser Satz so verstanden werden, dass ein Witz Helen irritiert hat?;Kann dieser Satz so verstanden werden, dass ein Witz Ute irritiert hat?;Part 1
3;target;Ich habe Laura gefragt, welches Video von Sarah sie berührt und Jannik entmutigt hat.;Zu Sarahs Geburtstag bringen all ihre engsten Freunde, so auch Laura und Jannik, unterschiedliche Beiträge zu ihren gemeinsamen Erinnerungen mit.;subject initial;Kann dieser Satz so verstanden werden, dass ein Video Laura berührt hat?;Kann dieser Satz so verstanden werden, dass ein Video Sarah berührt hat?;Part 1
4;target;Ich habe Marius gefragt, welche Gemälde von Justus Suse beschädigt und er ausgestellt hat.;Marius, Justus und Suse sind Kunstschaffende, die sich ein Atelier teilen.;object non-initial;Kann dieser Satz so verstanden werden, dass Marius ein Gemälde ausgestellt hat?;Kann dieser Satz so verstanden werden, dass Justus ein Gemälde ausgestellt hat?;Part 1
5;target;Ich habe Tim gefragt, welche Platte von Oliver er behütet und Karin zerkratzt hat.;Oliver hat sich über die letzten Jahre eine beeindruckende Schallplattensammlung angelegt, aus der sich Tim und Karin gerne mal etwas ausleihen.;object initial;Kann dieser Satz so verstanden werden, dass Tim eine Platte behütet hat?;Kann dieser Satz so verstanden werden, dass Oliver eine Platte behütet hat?;Part 1
6;target;Ich habe Mia gefragt, welche Geschichte über Luna Silas verwundert und sie gelangweilt hat.;Mia und Silas waren auf einer Party von Luna, die nicht so gut gelungen ist.;subject non-initial;Kann dieser Satz so verstanden werden, dass eine Geschichte Mia gelangweilt hat?;Kann dieser Satz so verstanden werden, dass eine Geschichte Luna gelangweilt hat?;Part 1
7;target;Ich habe Julian gefragt, welche Idee von Arthur ihn angespornt und Iris geschockt hat.;Iris und Julian waren bei einem Vortrag von ihrem Bekannten Arthur, von dem sie oft schwärmen.;subject initial;Kann dieser Satz so verstanden werden, dass eine Idee Julian angespornt hat?;Kann dieser Satz so verstanden werden, dass eine Idee Arthur angespornt hat?;Part 1
8;target;Ich habe Zoe gefragt, welchen Bericht über Lisa Paul veröffentlicht und sie verheimlicht hat.;Zoe und Paul haben für die geplante Reportage nicht nur über Lisa recherchiert, sondern auch ein Interview mit ihr geführt.;object non-initial;Kann dieser Satz so verstanden werden, dass Zoe einen Bericht verheimlicht hat?;Kann dieser Satz so verstanden werden, dass Lisa einen Bericht verheimlicht hat?;Part 1
9;target;Ich habe David gefragt, welche Zeichnung von Matthias er überarbeitet und Astrid verspottet hat.;David, Astrid und Matthias sind künstlerisch begabt und zeichnen gerne Karikaturen voneinander.;object initial;Kann dieser Satz so verstanden werden, dass David eine Zeichnung überarbeitet hat?;Kann dieser Satz so verstanden werden, dass Matthias eine Zeichnung überarbeitet hat?;Part 1
10;target;Ich habe Leo gefragt, welches Lied über Oskar Nina verdutzt und ihn entzückt hat.;Leo, Nina und Oskar haben neulich gemeinsam Musik gemacht und Lieder über einander erfunden.;subject non-initial;Kann dieser Satz so verstanden werden, dass ein Lied Leo entzückt hat?;Kann dieser Satz so verstanden werden, dass ein Lied Oskar entzückt hat?;Part 1
11;target;Ich habe Susi gefragt, welche Tatsache über Marie sie bedrückt und Hugo verärgert hat.;Susi hat ihrer Freundin Marie ein Bewerbungsgespräch bei Hugo besorgt, der ein Café besitzt.;subject initial;Kann dieser Satz so verstanden werden, dass eine Tatsache Susi bedrückt hat?;Kann dieser Satz so verstanden werden, dass eine Tatsache Marie bedrückt hat?;Part 1
12;target;Ich habe Eva gefragt, welches Gedicht über Hanna Lars vorgetragen und sie gelesen hat.;In der Schreibgruppe von Eva, Hanna und Lars wurden Gedichte über die anwesenden Personen verfasst.;object non-initial;Kann dieser Satz so verstanden werden, dass Eva ein Gedicht gelesen hat?;Kann dieser Satz so verstanden werden, dass Hanna ein Gedicht gelesen hat?;Part 1
1;filler;Die Tochter der Politikerin, die einen Podcast aufgenommen hat, steht heute in der Zeitung.;Seit der Veröffentlichung des Podcasts sind die Politikerin und ihre Tochter oft zusammen zu sehen.;NA;Kann dieser Satz so verstanden werden, dass die Tochter einen Podcast aufgenommen hat?;Kann dieser Satz so verstanden werden, dass die Politikerin einen Podcast aufgenommen hat?;Part 1
